Year,Auckland,Wellington,Christchurch,Dunedin
1980,18.1,16.2,16.9,NA
1981,19,17,17.1,NA
1982,18.3,16.3,17.3,NA
1983,18.1,16.2,16.4,NA
1984,18.8,17.1,17,NA
1985,18.8,17.1,17.4,NA
1986,18.8,16.8,16.9,NA
1987,18.6,17,17.2,NA
1988,19,17.3,18.1,NA
1989,19.3,17.3,16.9,NA
1990,19.5,17.4,17.7,NA
1991,18.6,16.6,16.5,NA
1992,18.2,15.5,15.5,14.5
1993,NA,NA,16.1,15.4
1994,NA,NA,16.9,15.6
1995,19.1,16.3,16.7,15.7
1996,19.1,16.4,16.6,15.4
1997,18.6,16.2,16.5,15.4
1998,20.1,17.5,18,16.8
1999,19.8,17.4,17.1,17.3
2000,19.2,16.9,16.9,16.3
2001,19.4,17.3,17.1,16.5
2002,18.9,16.7,16.6,16
2003,19.1,16.8,17,16.4
2004,18.4,16,16.6,15.8
2005,19.7,17,17.1,16.9
2006,18.9,16.3,16.5,16.3
2007,19.2,17,16.8,16.1
2008,19.3,17.1,17,16.4
2009,18.7,16.1,16.4,15.8
2010,19.6,16.7,17.6,16.4
2011,19.3,16.6,16.8,15.7
2012,19,16.4,16.8,15.9
2013,19.8,17.3,17.6,16.7
2014,19.3,16.7,17,16.1
2015,19.4,16.7,17.5,16.4
2016,19.8,17.4,17.8,17.1
2017,19.7,16.8,17.2,16.4
2018,NA,NA,NA,NA
